,,,,,Data Analytics,-Indian Stock Market Top 2000,,,,,,,,
Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,Return on Equity,Return on Assets,Net Proﬁt Margin,5Y Avg EBITDA Margin,EBITDA Margin,1Y Return vs Nifty,5Y CAGR,Debt to Equity,Long Term Debt to Equity
Tata Power Company Ltd,TATAPOWER,Power Transmission & Distribution,74051.994,227.95,65.68503433,4.782341081,1.197168202,3.278051697,27.29336566,25.28471201,102.7682667,21.06470141,184.986273,131.4379736
Fsn E-Commerce Ventures Ltd,NYKAA,Business Support Services,73490.09007,1503.3,1188.198708,15.20234979,5.09791962,2.521772457,,7.12538326,-16.098752034726,,67.78459219,22.21927912
Interglobe Aviation Ltd,INDIGO,Airlines,73072.64196,1814.05,-12.5847796255117,-193.909307525201,-13.637760599397,-37.036496043078,11.56749522,6.705175987,-7.05511173657738,14.17286094,26934.5571,18638.05701
Indusind Bank Ltd,INDUSINDBK,Private Banks,72232.42742,913.4,24.65178011,7.489225377,0.873645959,8.253672887,19.81738055,11.99151678,-25.8329154896128,-8.05806900558276,,
Havells India Ltd,HAVELLS,Electrical Components & Equipments,71838.41158,1137.15,68.79031282,22.01360475,13.11476851,9.810646841,13.8215951,16.68958896,-7.17112140107494,20.27204456,10.071866,7.604852887
Tata Consumer Products Ltd,TATACONSUM,Tea & Coﬀee,71171.43895,747.8,83.07723792,5.611316035,4.428384378,7.255344178,12.70580765,13.84256558,8.482672372,38.65835188,10.45335521,4.329930684
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,Insurance,70758.57935,477.45,74.00363892,10.03164824,0.512336587,1.126855145,4.027440825,1.507474438,-5.0767778456782,5.168913844,9.915110132,9.915110132
Berger Paints India Ltd,BERGEPAINT,Paints,69736.16989,693.55,96.88943368,23.78878795,13.30758407,10.47811352,17.15218759,17.96252191,-20.5289573537283,24.65768582,18.7285198,10.60453378
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,Hospitals & Diagnostic Centres,69590.33614,4767.4,462.7017031,3.636275719,1.326255269,1.410141014,11.92345207,11.65429043,46.35609701,31.89108831,59.53898051,51.50341496
Marico Ltd,MARICO,FMCG - Personal Products,67752.98966,504.35,57.80971814,37.2418176,22.56015399,13.0121017,18.83496527,18.82979905,11.6171254,11.55388741,10.77348066,0.245549417
GAIL (India) Ltd,GAIL,Gas Distribution,67183.02845,144.3,10.94836971,11.95760282,7.850044055,10.19142375,15.75059228,16.73872447,-11.911026402957,0.722250093,14.77600435,10.6808524
Dr Reddy's Laboratories Ltd,DRREDDY,Pharmaceuticals,67080.24322,4004.95,34.37192212,11.74230231,7.835988693,10.06659136,19.45173299,21.71208393,-22.4036567593104,8.830715242,17.17975025,3.570517581
United Spirits Ltd,MCDOWELL-N,Alcoholic Beverages,66818.06304,904.95,174.1868171,9.90497831,4.420729951,4.675653933,13.88165281,12.51432193,52.62502908,15.91931744,25.54386656,2.333144448
Eicher Motors Ltd,EICHERMOT,Trucks & Buses,66631.84284,2378.75,49.47088689,12.57658501,9.973885834,14.63268102,31.44856143,24.61326696,-26.722460469819,-0.95925819980327,1.916842687,0.403214526
MindTree Ltd,MINDTREE,IT Services & Consulting,65716.75239,3975.95,59.17762484,29.709195,19.28286161,13.67695055,16.81592118,22.27230741,83.73287664,52.95965465,12.44964112,10.40055568
ICICI Lombard General Insurance Company Ltd,ICICIGI,Insurance,62313.55477,1240.55,42.3026902,21.71069116,3.869840287,11.61851909,14.62967055,16.43664254,-29.7455569908724,,6.522788741,6.522788741
Motherson Sumi Systems Ltd,MOTHERSUMI,Auto Parts,61868.72707,133.3,59.53495677,6.617043088,2.240094501,1.791390569,9.173159512,8.511346163,-40.2433124134404,-0.483956704936728,71.93482836,50.71726192
Zomato Ltd,ZOMATO,Online Services,61757.58684,80.4,-75.9812830176119,-18.4805184913185,-14.0090348622968,-38.3680367064288,-68.7126533670173,-31.4992706863102,-16.098752034726,,0.896946871,0.654762567
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,Online Services,61636,770.75,324.5708268,13.65808751,5.927382541,20.91225443,28.24924342,34.72381288,91.59459208,,0,0
Ambuja Cements Ltd,AMBUJACEM,Cement,60800.45691,300.35,21.86767885,8.030249228,5.92129991,9.477018474,19.10975882,22.028057,-10.1365011968357,4.838524841,0.309225668,0.149835954
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,Consumer Finance,59095.83423,697.85,38.85685351,17.08864102,2.192980749,15.86910384,23.8057995,22.43582386,10.12897701,28.91433192,663.8678931,572.029834
Info Edge (India) Ltd,NAUKRI,Online Services,58915.78208,4643.1,41.87095409,36.38761598,30.37550582,52.04410367,29.09363098,61.03201991,-15.2122387696194,40.78535081,1.175274634,0.794831608
Mphasis Ltd,MPHASIS,IT Services & Consulting,58352.30325,3103.9,47.95554179,19.69520027,13.44202877,12.34670623,19.16300685,19.64240416,70.17622846,39.3881535,7.866903846,0
UPL Ltd,UPL,Fertilizers & Agro Chemicals,58189.70193,775.9,20.26809541,12.17195913,4.185344733,7.36267118,19.27575787,21.57767862,7.955928595,9.855487998,99.32058584,92.45728234
Indus Towers Ltd,INDUSTOWER,Telecom Infrastructure,57844.6911,209.95,15.30687777,25.69061806,11.68204076,24.83455677,58.2510893,55.47654879,-36.4213326798873,-7.70258857614995,135.8946904,80.22800277
Bank of Baroda Ltd,BANKBARODA,Public Banks,55824.85472,106.5,36.07049011,1.942877889,0.128475493,1.738920765,3.566685097,8.685806188,28.40599695,-8.14297642008503,,
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,Asset Management,55743.58035,5008.4,15.27292514,9.55237201,9.332417265,93.37803749,92.57963789,97.2033894,29.96132379,18.99622266,0.308674786,0.308674786
Piramal Enterprises Ltd,PEL,Diversiﬁed Financials,54301.78972,2234.6,40.75670603,4.050823032,1.755428681,9.787823,52.15514956,60.42497109,2.193511272,3.780319938,112.5732236,80.35852512
Gland Pharma Ltd,GLAND,Pharmaceuticals,54222.36313,3282.65,54.38715621,20.88008981,18.84253817,27.71162367,38.83835922,39.94290733,12.41339391,,0.068945189,0.06657361
Muthoot Finance Ltd,MUTHOOTFIN,Consumer Finance,53661.77185,1354.55,14.10518659,27.40827407,6.161280472,32.89176772,42.20271981,44.94770205,-6.01301104565695,31.03780986,319.8960507,210.4418193
Macrotech Developers Ltd,LODHA,Real Estate,53476.09656,1108.35,1331.90776,0.787461031,0.10037431,0.695641628,22.08798483,21.53664897,-16.098752034726,,354.9241589,83.25604534
Bharat Electronics Ltd,BEL,Electronic Equipments,51022.25623,208.9,24.30858254,19.83849923,7.796318242,14.74632297,23.03270672,23.45645706,47.1681491,7.575676917,0,0
Procter & Gamble Hygiene and Health Care Ltd,PGHH,FMCG - Personal Products,50445.76908,15493.6,77.39573955,69.63084829,37.6636397,18.03753681,25.12961834,25.56122562,3.637718917,17.78269665,0,0
L&T Technology Services Ltd,LTTS,Software Services,49946.79166,4788.1,75.30045478,21.19609504,14.15870644,11.83745583,20.76136534,20.72134775,68.5988255,43.82947265,0,0
Adani Wilmar Ltd,AWL,,49361.79342,391.25,67.83727536,24.79702156,5.795124259,1.956276619,4.040778824,3.846040103,-16.098752034726,,57.72963631,31.05074057
JSW Energy Ltd,JSWENERGY,Power Generation,48993.09573,304.7,61.58934949,6.090950786,3.111118412,11.0840486,38.82343382,44.04720767,243.2172857,37.4757614,57.54806777,48.09129083
Jindal Steel And Power Ltd,JINDALSTEL,Iron & Steel,48673.50355,487.6,12.13137519,12.88073856,4.788331851,8.024852602,19.15290926,25.16625938,39.65911412,30.70932401,94.73972403,65.39231218
Torrent Pharmaceuticals Ltd,TORNTPHARM,Pharmaceuticals,48644.76309,2763.6,38.85736899,23.48657038,8.915130434,15.52915842,26.92402784,31.53676496,-1.62604886183226,13.91168302,82.66779964,50.38520379
Bandhan Bank Ltd,BANDHANBNK,Private Banks,48564.59089,294.95,22.020164,13.52891886,2.129801774,15.07154587,34.81876134,20.85466885,-30.8654042526136,,,
Hero MotoCorp Ltd,HEROMOTOCO,Two Wheelers,48352.4916,2391.55,16.57184187,19.38286396,13.64385824,9.257675756,17.07475136,14.62968186,-39.4256199314286,-6.43260486828314,3.753435979,1.655568488
Hindustan Aeronautics Ltd,HAL,Aerospace & Defense Equipments,48345.74475,1446.2,14.92401349,22.59904426,6.027969416,14.01174761,23.55691175,24.75025519,24.03011769,,0.330107718,0
Adani Power Ltd,ADANIPOWER,Power Generation,48250.30615,124.55,37.99296536,12.85560999,1.654045471,4.511525531,25.39561759,37.64419347,18.98801586,25.53516266,396.3576079,302.013796
HDFC Asset Management Company Ltd,HDFCAMC,Asset Management,47727.65111,2152.85,36.00021958,30.11229422,28.19776036,60.21419423,67.16343916,81.95154741,-41.1126844624515,,0,0
Page Industries Ltd,PAGEIND,Apparel & Accessories,47598.15345,41826.2,139.760265,39.95518431,21.20068974,11.93964444,20.57516453,19.16436161,31.51939645,23.35746869,14.35674894,10.66698309
Tata Elxsi Ltd,TATAELXSI,Software Services,46282.2933,7403.75,125.7192734,30.14798012,23.70760577,19.72957185,26.57490204,30.18923539,151.7018737,58.01937196,5.41422,4.4712982
IDBI Bank Ltd,IDBI,Public Banks,46074.04332,44.75,30.43259993,4.166107139,0.504674709,6.103824319,-29.9272834009968,7.440523827,3.713831633,-10.3672864860383,,
Trent Ltd,TRENT,Retail - Apparel,44864.29502,1279.6,-306.93230495659,-6.05901079405087,-2.60311066114239,-5.23051929462959,12.39221476,11.2099937,44.01135808,38.88799813,12.72226747,0
ABB India Ltd,ABB,Heavy Electrical Equipments,44529.36638,2091.45,85.68118062,6.152257282,2.867245688,7.203227738,9.734069224,11.43305022,31.82712412,11.81303581,0,0
Godrej Properties Ltd,GODREJPROP,Real Estate,44378.01502,1607.8,-234.271314025656,-2.8860510326587,-1.43854242686352,-14.2098432964016,17.84394897,8.90712555,5.91225157,32.86229286,54.59950069,12.28188266
NMDC Ltd,NMDC,Mining - Iron Ore,44340.06651,151.55,7.06429977,21.80194728,18.40003447,39.92250379,53.52128794,58.14295328,-2.45045807147137,2.061566016,6.671005924,1.827672398
Bosch Ltd,BOSCHLTD,Auto Parts,43018.68596,14249,89.25038582,5.054106199,3.433586459,4.728689015,17.96752788,9.032580864,-18.0161434737505,-9.0550095001475,0.548257905,0.346482691
Voltas Ltd,VOLTAS,Home Electronics & Appliances,42895.89769,1288.7,81.68468921,11.23756841,6.258040183,6.780689612,11.00798644,9.932676019,15.3677106,27.10847887,5.181679905,0.112537156
PI Industries Ltd,PIIND,Diversiﬁed Chemicals,42692.28187,2784.05,57.82511428,18.54675626,13.15257378,15.68748274,23.64811525,24.37796146,6.067644034,25.8266925,6.137690925,4.818059299
Colgate-Palmolive (India) Ltd,COLPAL,FMCG - Personal Products,41715.79661,1521.2,40.28993579,75.02771719,37.66437855,21.25372313,27.83787735,31.61157491,-19.7501438705558,9.177829679,7.820836121,6.635445079
Balkrishna Industries Ltd,BALKRISIND,Tires & Rubber,41224.89077,2055.35,35.00963098,21.39388269,15.72887976,19.77264141,31.2801398,33.29745523,11.02188377,23.36487495,16.68583391,0.026334123
Alkem Laboratories Ltd,ALKEM,Pharmaceuticals,41117.80568,3496.85,25.9415059,22.86034883,14.7685513,17.42120986,19.02931362,23.91236967,17.12219392,10.38000579,22.58583939,0.453161613
Varun Beverages Ltd,VBL,Soft Drinks,41090.50896,943.3,59.20310774,17.82957784,7.700295781,7.50887951,18.09426055,18.87703271,28.86820663,41.61781857,79.95567946,43.20847332
Canara Bank Ltd,CANBK,Public Banks,41008.41435,224.95,14.18686647,5.498605561,0.299894653,3.086267046,-1.5200586660529,5.039058934,32.8747579,-4.85124920066029,,
Astral Ltd,ASTRAL,Building Products - Pipes,40785.79214,2019.45,100.8550745,23.53420432,16.3005361,12.63197351,16.7490061,20.69719498,4.735952528,43.93408021,4.18362024,1.28847157
Steel Authority of India Ltd,SAIL,Iron & Steel,40520.45309,99.4,9.768366248,9.545095423,3.362695468,5.861284364,12.36973226,19.95936511,19.1393432,9.479766186,82.97687344,43.44344377
Sona BLW Precision Forgings Ltd,SONACOMS,Auto Parts,39998.943,674.6,185.9032487,17.33881853,10.68977253,13.71634027,29.73130054,27.37721848,-16.098752034726,,34.29634174,20.14801749
Hindustan Petroleum Corp Ltd,HINDPETRO,Oil & Gas - Reﬁning & Marketing,39925.04317,276.2,3.744298513,30.87941353,8.493482223,4.51758338,5.772840521,7.95902349,1.558329967,-3.8896147063185,114.7787366,72.90912022
ACC Ltd,ACC,Cement,39860.66338,2055.75,21.39606943,11.79563946,8.09469946,11.38049228,16.73000541,19.31383143,1.038000102,7.78604929,0.661136465,0.661136465
Punjab National Bank,PNB,Public Banks,39639.65601,35.7,15.47227379,3.258310426,0.240240196,2.697080824,-9.51784286724569,5.015851527,-23.2508976784191,-24.219477690658,,
Biocon Ltd,BIOCON,Biotechnology,39533.9129,329.8,53.38813356,9.319916681,4.500972526,10.04353782,26.96806002,24.96304032,-32.7527828661639,11.5024569,52.67172881,36.1523814
United Breweries Ltd,UBL,Alcoholic Beverages,39208.63955,1445.7,346.3048891,3.184975871,1.985794954,2.603752236,14.41550346,9.752917205,2.610448606,13.3302989,7.30529304,3.213581593
One 97 Communications Ltd,PAYTM,Online Services,38720.13676,565.7,-22.8289232733624,-23.2224762791462,-17.4381962401106,-53.2093110804367,-67.5830687798705,-46.4926590538336,-16.098752034726,,9.391976919,0.655289893
Zydus Lifesciences Ltd,ZYDUSLIFE,Pharmaceuticals,38216.31126,366.4,17.91165695,16.01801802,9.032697807,14.09302879,21.63521151,20.95921899,-29.9680515175657,-3.66255696810287,30.70075555,4.082493838
Container Corporation of India Ltd,CONCOR,Logistics,37538.62478,614.9,74.31330875,4.940186521,4.174878084,7.399670696,22.90906853,18.60948184,-6.40291758641628,9.160138885,0.618126932,0.556255961
Aurobindo Pharma Ltd,AUROPHARMA,Pharmaceuticals,37520.57883,679.4,7.033121673,27.53195816,17.1632496,18.78136115,23.76182275,29.83094156,-33.4718137556138,-0.359642988642439,24.12970228,2.228511208
Star Health and Allied Insurance Company Ltd,STARHEALTH,Insurance,36721.19231,655.8,-44.47872710676,-32.1033884728152,-9.99733594894709,-15.1572844338531,1.935504113,-18.3635589206179,-16.098752034726,,7.143591912,7.143591912
Abbott India Ltd,ABBOTINDIA,Pharmaceuticals,36671.8329,17251.9,53.09448942,27.44176437,18.69938949,15.72996092,19.32231033,22.82801782,0.507927947,30.84080952,5.863590248,4.522396778
AU Small Finance Bank Ltd,AUBANK,Consumer Finance,36515.46978,1177.75,31.19167474,21.98043188,2.497866845,18.28730317,27.9317309,24.41374031,-17.7685495717746,,,
Polycab India Ltd,POLYCAB,Electrical Components & Equipments,36428.39152,2438.4,41.29781714,20.45618197,13.59643816,9.731302251,12.44722546,14.39335603,64.10965828,,5.210600972,2.172113888
Honeywell Automation India Ltd,HONAUT,Electronic Equipments,34847.00618,39557.45,75.74777451,19.34111395,12.41671739,14.7130407,17.84318019,21.61605501,-23.9313861852159,32.19352775,2.865208405,2.123798408
Lupin Ltd,LUPIN,Pharmaceuticals,34781.39075,755.15,28.59065601,9.202447723,5.043680764,7.950875065,17.40060227,17.67580053,-40.9669243558881,-12.2858069808866,34.51394166,0.116321778
,,,,,,,1,,,,,,,
